Timestep,MSD_Monomer,MSD_Aggregate
1,1.0666666666666667,0.0
2,1.5833333333333333,0.0
3,2.0,0.0
4,1.9166666666666667,0.0
5,2.1,0.0
6,2.0,0.0
7,2.0166666666666666,0.0
8,2.5,0.0
9,2.216666666666667,0.0
10,2.232142857142857,0.0
11,2.3035714285714284,0.5
12,2.0714285714285716,2.5
13,2.0357142857142856,3.0
14,2.232142857142857,3.5
15,2.4464285714285716,3.5
16,2.5,1.5
17,2.5357142857142856,2.25
18,2.517857142857143,3.0
19,2.232142857142857,5.5
20,2.1785714285714284,3.5
21,2.017857142857143,3.5
22,2.1785714285714284,2.25
23,2.3392857142857144,2.25
24,2.142857142857143,2.25
25,2.12,0.5000000000000001
26,2.6666666666666665,0.25
27,2.4583333333333335,0.3125
28,2.2083333333333335,0.3125
29,2.375,0.3125
30,2.1956521739130435,0.25
31,2.130434782608696,0.75
32,2.1739130434782608,0.75
33,1.9565217391304348,0.75
34,1.9782608695652173,1.0925
35,2.217391304347826,1.3074999999999999
36,2.152173913043478,1.8074999999999999
37,1.9565217391304348,0.9324999999999999
38,2.0,1.3287499999999999
39,1.9166666666666667,1.809027777777778
40,2.138888888888889,1.7118055555555556
41,1.8611111111111112,2.1284722222222223
42,1.9444444444444444,1.8645833333333333
43,1.8,1.375
44,2.35,1.6944444444444446
45,2.0294117647058822,1.635204081632653
46,2.0,1.4375
47,2.0,1.25
48,2.0357142857142856,1.75
49,1.9642857142857142,1.625
50,2.107142857142857,1.5625
51,2.107142857142857,1.625
52,2.6923076923076925,1.5625
53,2.1818181818181817,2.025
54,2.65,1.9582644628099175
55,2.55,1.5764462809917354
56,2.85,1.0533057851239669
57,2.7,1.1254132231404959
58,2.611111111111111,1.475
59,3.1875,2.125
60,3.625,1.525
61,3.1875,1.775
62,2.625,1.325
63,2.9375,1.575
64,2.3125,1.775
65,2.625,1.475
66,2.5625,1.45
67,2.5625,1.6
68,3.8125,1.7022189349112424
69,2.875,1.196663379355687
70,2.8125,1.7022189349112424
71,2.0625,1.4245397764628533
