Filename,Runtime_minutes,Unnamed: 3
Benchmark_Analysis.o2004865.219,73.59866667,
Benchmark_Analysis.o2004865.22,73.27121667,
Benchmark_Analysis.o2004865.220,73.72311667,
Benchmark_Analysis.o2004865.221,78.9439,
Benchmark_Analysis.o2004865.222,76.37456667,
Benchmark_Analysis.o2004865.223,80.12736667,
Benchmark_Analysis.o2004865.224,73.98226667,
Benchmark_Analysis.o2004865.225,76.37746667,
Benchmark_Analysis.o2004865.226,76.3916,
Benchmark_Analysis.o2004865.227,72.02671667,
Benchmark_Analysis.o2004865.228,75.10725,
Benchmark_Analysis.o2004865.229,78.56628333,
Benchmark_Analysis.o2004865.23,77.2941,
Benchmark_Analysis.o2004865.230,75.26091667,
Benchmark_Analysis.o2004865.231,74.54811667,
Benchmark_Analysis.o2004865.232,80.97195,
Benchmark_Analysis.o2004865.233,77.7316,
Benchmark_Analysis.o2004865.234,74.03856667,
Benchmark_Analysis.o2004865.235,73.96005,
Benchmark_Analysis.o2004865.236,75.59493333,
Benchmark_Analysis.o2004865.237,75.54806667,
Benchmark_Analysis.o2004865.238,77.14591667,
Benchmark_Analysis.o2004865.24,75.0423,
Benchmark_Analysis.o2004865.240,77.39456667,
Benchmark_Analysis.o2004865.241,70.56311667,
Benchmark_Analysis.o2004865.242,77.47441667,
Benchmark_Analysis.o2004865.243,72.89563333,
Benchmark_Analysis.o2004865.244,77.83831667,
Benchmark_Analysis.o2004865.245,77.45981667,
Benchmark_Analysis.o2004865.246,75.14068333,
Benchmark_Analysis.o2004865.247,71.43285,
Benchmark_Analysis.o2004865.248,75.28901667,
Benchmark_Analysis.o2004865.249,80.22618333,
Benchmark_Analysis.o2004865.25,77.61548333,
Benchmark_Analysis.o2004865.250,71.786,
Benchmark_Analysis.o2004865.251,76.2668,
Benchmark_Analysis.o2004865.252,76.71443333,
Benchmark_Analysis.o2004865.253,77.56266667,
Benchmark_Analysis.o2004865.254,71.76721667,
Benchmark_Analysis.o2004865.255,75.3125,
Benchmark_Analysis.o2004865.256,78.78846667,
Benchmark_Analysis.o2004865.258,75.76425,
Benchmark_Analysis.o2004865.259,78.13591667,
Benchmark_Analysis.o2004865.26,73.66286667,
Benchmark_Analysis.o2004865.260,78.01971667,
Benchmark_Analysis.o2004865.261,79.22921667,
Benchmark_Analysis.o2004865.262,74.65825,
Benchmark_Analysis.o2004865.263,78.30065,
Benchmark_Analysis.o2004865.264,80.33265,
Benchmark_Analysis.o2004865.265,69.8833,
Benchmark_Analysis.o2004865.266,75.63595,
Benchmark_Analysis.o2004865.267,76.64918333,
Benchmark_Analysis.o2004865.268,71.2808,
Benchmark_Analysis.o2004865.269,78.32515,
Benchmark_Analysis.o2004865.27,79.50678333,
Benchmark_Analysis.o2004865.270,68.88863333,
Benchmark_Analysis.o2004865.271,76.99916667,
Benchmark_Analysis.o2004865.272,78.42921667,
Benchmark_Analysis.o2004865.273,71.83385,
Benchmark_Analysis.o2004865.274,76.44981667,
Benchmark_Analysis.o2004865.275,77.0158,
Benchmark_Analysis.o2004865.277,74.7588,
Benchmark_Analysis.o2004865.278,75.77265,
Benchmark_Analysis.o2004865.279,73.4857,
Benchmark_Analysis.o2004865.28,74.72356667,
Benchmark_Analysis.o2004865.281,75.39685,
Benchmark_Analysis.o2004865.282,78.77446667,
Benchmark_Analysis.o2004865.283,74.94441667,
Benchmark_Analysis.o2004865.284,68.67921667,
Benchmark_Analysis.o2004865.285,74.07625,
Benchmark_Analysis.o2004865.286,72.34553333,
Benchmark_Analysis.o2004865.287,76.12091667,
