Timestep,MSD_Monomer,MSD_Aggregate
1,0.7333333333333333,0.0
2,1.1333333333333333,0.0
3,1.75,0.0
4,1.7666666666666666,0.0
5,1.8166666666666667,0.0
6,1.6607142857142858,0.0
7,2.3035714285714284,0.0
8,2.3392857142857144,0.0
9,2.392857142857143,0.0
10,2.423076923076923,2.1875
11,2.64,1.0
12,2.36,2.5
13,2.24,3.5
14,2.64,3.5
15,2.5625,0.0
16,2.3125,0.0
17,2.772727272727273,1.0
18,2.75,1.0
19,2.4318181818181817,1.0
20,2.477272727272727,1.0
21,2.727272727272727,2.0
22,2.522727272727273,2.0
23,2.4722222222222223,0.3333333333333333
24,2.638888888888889,2.0
25,2.4411764705882355,2.6666666666666665
26,2.7058823529411766,1.1666666666666667
27,2.1176470588235294,2.3333333333333335
28,2.3823529411764706,1.8333333333333333
29,2.0294117647058822,2.4583333333333335
30,2.264705882352941,1.625
31,1.78125,0.625
32,1.875,0.875
33,2.3125,0.1875
34,2.84375,1.3125
35,2.75,2.4375
36,2.625,2.8203125
37,2.2333333333333334,1.6875
38,2.9,2.4375
39,2.533333333333333,1.8125
40,2.8666666666666667,2.4375
41,2.5,0.15432098765432112
42,3.3214285714285716,0.15432098765432112
43,3.1153846153846154,0.43000000000000016
44,3.125,0.6174999999999999
45,2.9166666666666665,1.7425
46,2.5,0.39249999999999996
47,2.3333333333333335,1.0174999999999998
48,2.5416666666666665,0.5225
49,2.4166666666666665,0.5225
50,3.2,0.009999999999999952
51,2.8333333333333335,0.0
52,3.0625,0.8402777777777776
53,2.75,0.673611111111111
54,2.25,0.7499999999999999
55,1.4285714285714286,0.5459183673469388
56,1.9285714285714286,0.6377551020408163
57,2.2142857142857144,0.6377551020408163
58,2.857142857142857,0.5306122448979592
59,3.0,0.6122448979591836
60,3.142857142857143,0.6122448979591836
61,2.5,0.6377551020408163
62,3.0,0.596938775510204
63,2.357142857142857,0.07086167800453519
64,2.7142857142857144,0.07086167800453519
65,2.142857142857143,0.07086167800453519
66,2.25,0.04591836734693873
67,2.5,0.04591836734693873
68,2.1666666666666665,0.096938775510204
69,1.75,0.06632653061224483
70,1.8333333333333333,0.0051020408163265415
71,1.6666666666666667,0.24489795918367338
72,1.3333333333333333,0.08163265306122441
73,2.4,0.0703125
74,3.4,0.06640625
75,3.2,0.06640625
76,2.3,0.11328125
77,2.6,0.03515625
78,3.4,0.40234375
79,3.3,0.40234375
80,2.75,0.54296875
81,2.875,0.27734375
82,3.375,0.12109375
83,3.0,0.08203125
84,3.125,0.08203125
85,4.125,0.1875
86,2.875,0.1875
87,2.625,0.01171875
88,2.625,0.19921875
89,2.3333333333333335,0.19921875
90,2.6666666666666665,0.40234375
91,1.6666666666666667,0.49609375
92,2.3333333333333335,0.12890625
93,2.6666666666666665,0.43359375
94,2.6666666666666665,0.43359375
95,2.5,0.43359375
96,2.5,0.12890625
97,3.5,0.12890625
98,2.5,0.328125
99,2.0,0.01234567901234564
100,1.0,0.030864197530864203
101,3.25,0.16975308641975306
102,3.5,0.16975308641975306
103,2.5,0.23148148148148148
104,2.5,0.3487654320987655
105,0.75,0.3487654320987655
106,1.25,0.3487654320987655
107,1.75,0.07716049382716057
108,3.0,0.20061728395061734
109,3.0,0.2746913580246913
110,2.5,0.2623456790123456
111,2.0,0.08950617283950615
112,0.5,0.2623456790123458
113,0.5,0.2561728395061727
114,0.5,0.20679012345679
115,0.5,0.20679012345679
116,0.5,0.20679012345679
117,1.0,0.18827160493827144
118,1.0,0.08950617283950613
119,1.0,0.08950617283950613
120,1.5,0.24382716049382724
121,0.0,0.39197530864197516
122,0.5,0.07098765432098764
123,0.5,0.265432098765432
124,1.0,0.16666666666666666
125,1.5,0.07716049382716048
126,1.5,0.37962962962962954
127,2.0,0.14506172839506165
128,3.5,0.37962962962962954
129,3.5,0.37962962962962954
130,0.5,0.37345679012345673
131,0.5,0.11419753086419757
132,1.5,0.05246913580246908
133,2.5,0.1635802469135802
134,1.5,0.1635802469135802
135,3.5,0.1450617283950618
136,3.5,0.26851851851851855
137,2.0,0.4845679012345677
138,1.5,0.26851851851851855
139,0.5,0.4845679012345677
140,1.5,0.3364197530864197
141,1.5,0.5277777777777778
142,0.5,0.19444444444444448
143,0.5,0.19444444444444448
144,1.5,0.08333333333333337
145,2.0,0.04938271604938266
