Timestep,MSD_Monomer,MSD_Aggregate
1,0.7166666666666667,0.0
2,1.0666666666666667,0.0
3,1.5,0.0
4,1.75,1.625
5,1.8035714285714286,1.625
6,1.9285714285714286,1.625
7,2.2857142857142856,2.375
8,2.375,0.875
9,2.267857142857143,0.875
10,2.25,0.875
11,2.5535714285714284,2.875
12,2.1206896551724137,0.0
13,2.0517241379310347,0.0
14,2.3620689655172415,0.0
15,2.3620689655172415,0.0
16,2.189655172413793,0.0
17,2.4655172413793105,0.0
18,2.5517241379310347,0.0
19,2.5172413793103448,0.0
20,2.4827586206896552,0.0
21,2.2586206896551726,0.0
22,2.189655172413793,0.0
23,2.0185185185185186,0.0
24,2.0925925925925926,1.5
25,2.074074074074074,1.0
26,2.2037037037037037,1.0
27,2.2777777777777777,0.125
28,2.5,0.5
29,2.5555555555555554,0.5
30,2.1296296296296298,0.875
31,2.3703703703703702,1.375
32,2.08,0.8125
33,2.28,0.8125
34,2.64,2.125
35,2.62,1.375
36,2.4,2.1875
37,2.314814814814815,1.625
38,2.259259259259259,1.5
39,2.0,1.5
40,2.0,1.5
41,2.185185185185185,1.5
42,2.611111111111111,0.25
43,2.6296296296296298,0.25
44,2.611111111111111,0.125
45,2.2222222222222223,0.875
46,2.4444444444444446,1.125
47,2.3518518518518516,0.375
48,2.5925925925925926,1.625
49,2.6296296296296298,1.625
50,2.3333333333333335,1.625
51,2.3076923076923075,0.0
52,2.4,0.0
53,2.6,0.96875
54,2.14,0.625
55,2.1,0.875
56,2.1,0.625
57,2.44,1.125
58,1.88,0.4999999999999999
59,2.0625,0.5000000000000002
60,2.1666666666666665,0.888888888888889
61,2.3541666666666665,0.888888888888889
62,2.2045454545454546,0.4444444444444445
63,2.4545454545454546,1.6736111111111112
64,2.227272727272727,1.7986111111111112
65,2.119047619047619,0.8125
66,2.5952380952380953,2.05484693877551
67,1.975,0.05102040816326532
68,2.236842105263158,2.2244897959183674
69,2.026315789473684,1.8673469387755102
70,1.7894736842105263,2.00797193877551
71,1.894736842105263,2.00797193877551
72,1.9736842105263157,1.5998086734693877
73,2.210526315789474,1.8600127551020407
74,2.0526315789473686,1.3140943877551021
75,2.1578947368421053,1.1419005102040816
76,2.210526315789474,1.7171556122448979
77,2.6052631578947367,1.307079081632653
78,2.6052631578947367,1.307079081632653
79,2.0,0.515625
80,2.0588235294117645,0.782986111111111
81,2.3529411764705883,0.804591049382716
82,2.7058823529411766,1.5530478395061726
83,2.59375,1.421875
84,1.7857142857142858,0.0
85,2.4583333333333335,0.19791666666666663
86,2.3636363636363638,0.16843820861678
87,2.611111111111111,0.11229213907785333
88,3.1875,0.7210884353741497
89,3.1875,1.054421768707483
90,2.6875,1.054421768707483
91,2.6875,1.054421768707483
92,1.6666666666666667,0.0
93,1.5,0.0
94,2.0,0.140625
95,2.0,0.140625
96,2.3,0.0
97,2.5,0.4722222222222222
98,1.7,0.36111111111111105
99,1.5,0.11111111111111113
100,1.75,0.11111111111111113
101,2.125,0.11111111111111113
102,2.375,0.11111111111111113
103,2.25,0.11111111111111113
104,2.1666666666666665,0.11111111111111113
105,3.1666666666666665,0.11111111111111113
106,2.5,0.22222222222222227
107,2.6666666666666665,0.11111111111111113
108,3.1666666666666665,0.11111111111111113
109,3.8333333333333335,0.11111111111111113
110,3.0,0.11111111111111113
111,2.6666666666666665,0.11111111111111113
112,2.25,0.11111111111111113
113,2.25,0.11111111111111113
114,3.25,0.11111111111111113
115,2.75,0.09567901234567905
116,2.75,0.09567901234567905
117,3.25,0.09567901234567905
118,3.25,0.8734567901234567
119,3.0,0.8734567901234567
120,3.25,0.8734567901234567
121,3.25,0.8734567901234567
122,3.25,0.697530864197531
123,3.0,0.697530864197531
124,1.5,0.09567901234567905
125,1.5,0.632716049382716
126,0.0,0.0
127,0.0,0.21250000000000008
128,0.0,0.0
129,0.0,0.42250000000000015
130,0.0,0.2575000000000001
131,0.0,0.33250000000000013
132,0.0,0.33250000000000013
133,0.0,0.33250000000000013
134,0.0,0.33250000000000013
135,0.0,0.33250000000000013
136,0.0,0.33250000000000013
137,0.0,0.33250000000000013
138,0.0,0.33250000000000013
139,0.0,0.33250000000000013
140,0.0,0.33250000000000013
141,0.0,0.33250000000000013
142,0.0,0.2575000000000001
143,0.0,0.33250000000000013
144,0.0,0.33250000000000013
145,0.0,0.21250000000000008
146,0.0,0.21250000000000008
147,0.0,0.0
148,0.0,0.42250000000000015
149,0.0,0.24250000000000008
150,0.0,0.28750000000000003
151,0.0,0.3625000000000001
152,0.0,0.3175000000000001
153,0.0,0.2925000000000001
154,0.0,0.2925000000000001
155,0.0,0.3175000000000001
156,0.0,0.2875000000000001
157,0.0,0.2875000000000001
158,0.0,0.2875000000000001
159,0.0,0.3175000000000001
160,0.0,0.2925000000000001
161,0.0,0.37
162,0.0,0.30999999999999994
163,0.0,0.2925000000000001
164,0.0,0.2925000000000001
165,0.0,0.2925000000000001
166,0.0,0.37
167,0.0,0.30999999999999994
168,0.0,0.37
169,0.0,0.645
170,0.0,0.3425000000000001
171,0.0,0.3425000000000001
172,0.0,0.45
173,0.0,0.45
