Timesteps,Simulation_2026-03-20_09-45-34,Simulation_2026-03-20_09-46-02,Simulation_2026-03-20_09-46-04,Simulation_2026-03-20_09-46-06,Simulation_2026-03-20_09-46-08
374,30,30,30,30,30
375,30,30,30,30,30
376,30,30,30,30,30
377,30,30,30,30,30
378,30,30,30,30,30
379,30,30,30,30,30
380,30,30,30,30,30
381,30,30,30,30,30
382,30,30,30,30,30
383,30,30,30,30,30
384,30,30,30,30,30
385,30,30,30,30,30
386,30,30,30,30,30
387,30,30,30,30,30
388,30,30,30,30,30
389,30,30,30,30,30
390,30,30,30,30,30
391,30,30,30,30,30
392,30,30,30,30,30
393,30,30,30,30,30
394,30,30,30,30,30
395,30,30,30,30,30
396,30,30,30,30,30
397,30,30,30,30,30
398,30,30,30,30,30
399,30,30,30,30,30
400,30,30,30,30,30
401,30,30,30,30,30
402,30,30,30,30,30
403,30,30,30,30,30
404,30,30,30,30,30
405,30,30,30,30,30
406,30,30,30,30,30
407,30,30,30,30,30
408,30,30,30,30,30
409,30,30,30,30,30
410,30,30,30,30,30
411,30,30,30,30,30
412,30,30,30,30,30
413,30,30,30,30,30
414,30,30,30,30,30
415,30,30,30,30,30
416,30,30,30,30,30
417,30,30,30,30,30
418,30,30,30,30,30
419,30,30,30,30,30
420,30,30,30,30,30
421,30,30,30,30,30
422,30,30,30,30,30
423,30,30,30,30,30
424,30,30,30,30,30
425,30,30,30,30,30
426,30,30,30,30,30
427,30,30,30,30,30
428,30,30,30,30,30
429,30,30,30,30,30
430,30,30,30,30,30
431,30,30,30,30,30
432,30,30,30,30,30
433,30,30,30,30,30
434,30,30,30,30,30
435,30,30,30,30,30
436,30,30,30,30,30
437,30,30,30,30,30
438,30,30,30,30,30
439,30,30,30,30,30
440,30,30,30,30,30
441,30,30,30,30,30
442,30,30,30,30,30
443,30,30,30,30,30
444,30,30,30,30,30
445,30,30,30,30,30
446,30,30,30,30,30
447,30,30,30,30,30
448,30,30,30,30,30
449,30,30,30,30,30
450,30,30,30,30,30
451,30,30,30,30,30
452,30,30,30,30,30
453,30,30,30,30,30
454,30,30,30,30,30
455,30,30,30,30,30
456,30,30,30,30,30
457,30,30,30,30,30
458,30,30,30,30,30
459,30,30,30,30,30
460,30,30,30,30,30
461,30,30,30,30,30
462,30,30,30,30,30
463,30,30,30,30,30
464,30,30,30,30,30
465,30,30,30,30,30
466,30,30,30,30,30
467,30,30,30,30,30
468,30,30,30,30,30
469,30,30,30,30,30
470,30,30,30,30,30
471,30,30,30,30,30
472,30,30,30,30,30
473,30,30,30,30,30
474,30,30,30,30,30
475,30,30,30,30,30
476,30,30,30,30,30
477,30,30,30,30,30
478,30,30,30,30,30
479,30,30,30,30,30
480,30,30,30,30,30
481,30,30,30,30,30
482,30,30,30,30,30
483,30,30,30,30,30
484,30,30,30,30,30
485,30,30,30,30,30
486,30,30,30,30,30
487,30,30,30,30,30
488,30,30,30,30,30
