Timestep,MSD_Monomer,MSD_Aggregate
1,0.9666666666666667,0.0
2,1.25,0.0
3,1.8214285714285714,0.0
4,2.1481481481481484,0.0
5,1.8518518518518519,0.11111111111111091
6,2.0555555555555554,0.11111111111111091
7,1.7592592592592593,1.7777777777777781
8,2.1666666666666665,2.7777777777777786
9,2.22,1.472222222222222
10,1.92,1.222222222222222
11,2.06,1.972222222222222
12,1.7608695652173914,1.7962962962962965
13,2.3260869565217392,1.5740740740740742
14,2.260869565217391,1.6851851851851851
15,2.391304347826087,1.7268518518518519
16,2.227272727272727,1.2916666666666667
17,2.272727272727273,2.3333333333333335
18,2.0454545454545454,2.34375
19,2.2045454545454546,1.0104166666666667
20,2.227272727272727,1.0104166666666667
21,1.8636363636363635,0.34375
22,2.1136363636363638,1.71875
23,2.0681818181818183,2.21875
24,2.1363636363636362,2.3645833333333335
25,2.022727272727273,2.6770833333333335
26,2.1,2.8359375
27,2.225,1.9609375
28,2.3421052631578947,1.9453125
29,2.236842105263158,2.459201388888889
30,2.3055555555555554,1.84375
31,2.638888888888889,1.814861111111111
32,2.6176470588235294,1.5162499999999999
33,2.176470588235294,1.8912499999999999
34,2.176470588235294,1.234375
35,2.3823529411764706,1.79875
36,2.28125,1.78125
37,2.0357142857142856,1.291454081632653
38,2.5,1.643954081632653
39,2.230769230769231,1.353954081632653
40,2.269230769230769,1.1014030612244898
41,2.3333333333333335,1.0401785714285714
42,2.75,1.3845663265306123
43,2.5,1.0886479591836735
44,2.5416666666666665,0.8386479591836735
45,2.0,0.618622448979592
46,2.0416666666666665,0.7213010204081634
47,2.0833333333333335,1.4764030612244898
48,2.772727272727273,1.1640226403061225
49,2.9545454545454546,1.1835538903061225
50,2.6363636363636362,1.2708864795918369
51,2.0454545454545454,2.241589604591837
52,2.090909090909091,2.472058354591837
53,2.409090909090909,2.628308354591837
54,2.8636363636363638,2.022839604591837
55,3.2777777777777777,1.7682716836734695
56,2.142857142857143,1.2027264030612246
57,2.142857142857143,1.8693930697278913
58,1.5714285714285714,2.0798522534013606
59,1.5714285714285714,1.6610597363945578
60,1.4285714285714286,2.4742240646258504
61,1.9285714285714286,1.390890731292517
62,2.2857142857142856,1.4424957482993197
63,1.6428571428571428,2.1091358418367347
64,1.2142857142857142,1.5258025085034015
65,1.1875,1.2247130102040817
66,1.0714285714285714,1.0090880102040818
67,1.5833333333333333,0.9147002551020409
68,1.75,0.9774553571428571
69,2.3333333333333335,1.0131696428571428
70,3.5,1.240625
71,3.6666666666666665,1.0734375
72,2.75,0.6734375
73,2.75,0.9703125
74,1.75,1.3734375
75,2.0,1.5984375
76,2.0,2.177776342975206
77,2.75,1.7699638429752063
78,2.75,1.6449638429752063
79,1.625,1.8999548037190082
80,3.1666666666666665,1.4507360537190082
81,2.3333333333333335,1.9028965475461685
82,1.4,0.8530390181274018
83,2.625,1.4395576131687242
84,2.375,0.7728909465020576
85,1.75,0.7070473251028805
86,1.5,0.8541666666666665
87,1.5,0.4791666666666665
88,1.375,0.42583333333333323
89,2.0,0.4791666666666665
90,1.875,0.9328703703703706
91,2.5,1.2707870370370369
92,3.0,1.4374537037037036
93,2.5,0.85875
94,3.3333333333333335,0.35874999999999996
95,3.3333333333333335,0.27875
96,3.5,0.35041666666666665
97,2.5,0.1381714876033058
98,3.5,0.48665633608815423
99,1.25,0.5197141873278237
100,0.5,0.4715048209366391
101,3.0,0.4715048209366391
102,1.75,0.18457300275482094
103,2.75,0.18457300275482094
104,2.75,0.5179063360881543
105,3.0,0.18457300275482094
106,2.75,0.20936639118457304
107,3.5,0.3760330578512397
108,0.5,0.264573002754821
109,0.5,0.5179063360881543
110,0.0,0.3512396694214877
111,0.0,0.20110192837465565
112,0.0,0.9049586776859503
113,0.0,0.9049586776859503
114,0.0,0.7382920110192838
115,0.0,0.7382920110192837
116,0.0,0.7382920110192837
117,0.0,0.7382920110192837
118,0.0,0.5716253443526172
119,0.0,0.5716253443526172
120,0.0,1.071625344352617
121,0.0,1.071625344352617
122,0.0,1.2382920110192837
123,0.0,0.6456994184266911
124,0.0,0.5345883073155802
125,0.0,0.6456994184266911
126,0.0,1.335514233241506
127,0.0,1.0021808999081727
128,0.0,1.0021808999081727
129,0.0,0.7429216406489135
130,0.0,1.076254973982247
131,0.0,0.9651438628711357
132,0.0,1.1688475665748395
133,0.0,1.0762549739822465
134,0.0,1.0762549739822465
135,0.0,0.7429216406489131
136,0.0,0.944329660238751
137,0.0,1.0366161616161615
138,0.0,0.9952938475665746
139,0.0,0.7360345883073153
140,0.0,0.7828665442301803
141,0.0,0.7387894092439544
142,0.0,0.9980486685032138
143,0.0,0.934687786960514
144,0.0,0.934687786960514
145,0.0,1.0710514233241504
146,0.0,1.0710514233241504
147,0.0,1.0710514233241504
148,0.0,1.0710514233241504
149,0.0,1.0710514233241504
150,0.0,1.0710514233241504
151,0.0,1.0710514233241504
152,0.0,0.8117921640648911
153,0.0,1.0710514233241504
154,0.0,0.8117921640648911
155,0.0,0.8117921640648911
156,0.0,0.8117921640648911
157,0.0,0.8117921640648911
158,0.0,1.0710514233241504
159,0.0,1.0710514233241504
160,0.0,0.7562366085093354
161,0.0,0.7562366085093354
162,0.0,0.7562366085093354
163,0.0,0.7562366085093354
164,0.0,0.7562366085093354
165,0.0,0.7562366085093354
166,0.0,0.7562366085093354
167,0.0,0.7562366085093354
168,0.0,0.7562366085093354
169,0.0,0.7562366085093354
170,0.0,0.7562366085093354
171,0.0,0.7562366085093354
172,0.0,0.8117921640648911
173,0.0,0.8117921640648911
174,0.0,0.8117921640648911
175,0.0,0.7562366085093354
176,0.0,0.7562366085093354
177,0.0,0.7562366085093354
178,0.0,0.8117921640648911
179,0.0,0.8117921640648911
180,0.0,0.8117921640648911
181,0.0,0.7562366085093354
182,0.0,0.8117921640648911
183,0.0,1.0710514233241504
184,0.0,0.8117921640648911
185,0.0,0.7562366085093354
186,0.0,0.7562366085093354
187,0.0,0.7562366085093354
188,0.0,0.7562366085093354
189,0.0,0.7562366085093354
190,0.0,0.7562366085093354
191,0.0,0.7562366085093354
192,0.0,0.7562366085093354
193,0.0,0.7562366085093354
194,0.0,0.7562366085093354
195,0.0,0.7562366085093354
196,0.0,0.7562366085093354
197,0.0,0.8117921640648911
198,0.0,1.0710514233241504
199,0.0,1.0710514233241504
200,0.0,0.7562366085093354
201,0.0,0.8117921640648911
202,0.0,0.7562366085093354
203,0.0,0.7562366085093354
204,0.0,0.7562366085093354
205,0.0,0.7562366085093354
206,0.0,0.7562366085093354
207,0.0,0.7562366085093354
208,0.0,0.7562366085093354
209,0.0,0.7562366085093354
210,0.0,0.7562366085093354
211,0.0,0.7562366085093354
212,0.0,0.8117921640648911
213,0.0,1.0710514233241504
214,0.0,1.0710514233241504
215,0.0,1.0710514233241504
216,0.0,0.8117921640648911
217,0.0,0.8117921640648911
218,0.0,0.7562366085093354
219,0.0,0.7562366085093354
220,0.0,0.8117921640648911
221,0.0,0.8117921640648911
222,0.0,0.8117921640648911
223,0.0,0.8117921640648911
224,0.0,1.0710514233241504
225,0.0,1.0710514233241504
226,0.0,0.8117921640648911
227,0.0,1.0710514233241504
228,0.0,1.0710514233241504
229,0.0,1.0710514233241504
230,0.0,0.8117921640648911
231,0.0,0.8117921640648911
232,0.0,0.8117921640648911
233,0.0,0.8117921640648911
234,0.0,1.0710514233241504
235,0.0,1.0710514233241504
236,0.0,1.0710514233241504
237,0.0,1.0710514233241504
238,0.0,0.8117921640648911
239,0.0,0.8117921640648911
240,0.0,0.8117921640648911
241,0.0,0.7562366085093354
242,0.0,0.7562366085093354
243,0.0,1.0710514233241504
244,0.0,1.0710514233241504
245,0.0,0.8117921640648911
246,0.0,0.8117921640648911
247,0.0,1.0710514233241504
248,0.0,1.0710514233241504
249,0.0,1.0710514233241504
250,0.0,1.0710514233241504
251,0.0,1.0710514233241504
252,0.0,1.0710514233241504
253,0.0,0.7562366085093354
254,0.0,0.7562366085093354
255,0.0,0.7562366085093354
256,0.0,0.7562366085093354
257,0.0,0.7562366085093354
258,0.0,0.8117921640648911
259,0.0,0.8117921640648911
260,0.0,0.8117921640648911
261,0.0,1.0710514233241504
262,0.0,0.8117921640648911
263,0.0,1.0710514233241504
264,0.0,1.0710514233241504
265,0.0,1.0710514233241504
266,0.0,1.0710514233241504
267,0.0,1.0710514233241504
268,0.0,0.8117921640648911
269,0.0,0.7562366085093354
270,0.0,0.7562366085093354
271,0.0,0.7562366085093354
272,0.0,0.7562366085093354
273,0.0,0.7562366085093354
274,0.0,0.7562366085093354
275,0.0,0.7562366085093354
276,0.0,0.7562366085093354
277,0.0,0.8117921640648911
278,0.0,0.8117921640648911
279,0.0,0.8117921640648911
280,0.0,0.8117921640648911
281,0.0,0.8117921640648911
282,0.0,0.8117921640648911
283,0.0,1.0710514233241504
284,0.0,0.8117921640648911
285,0.0,0.7562366085093354
286,0.0,0.7562366085093354
287,0.0,0.8117921640648911
288,0.0,0.8117921640648911
289,0.0,0.8117921640648911
290,0.0,1.0710514233241504
291,0.0,1.0710514233241504
292,0.0,0.8117921640648911
293,0.0,0.8117921640648911
294,0.0,0.8117921640648911
295,0.0,0.8117921640648911
296,0.0,0.7562366085093354
297,0.0,0.7562366085093354
298,0.0,0.7562366085093354
299,0.0,0.7562366085093354
300,0.0,0.7562366085093354
301,0.0,0.8117921640648911
302,0.0,1.0710514233241504
303,0.0,1.0710514233241504
304,0.0,1.0710514233241504
305,0.0,0.8117921640648911
306,0.0,0.8117921640648911
307,0.0,0.7562366085093354
308,0.0,0.7562366085093354
309,0.0,0.7562366085093354
310,0.0,0.8117921640648911
311,0.0,0.8117921640648911
312,0.0,0.8117921640648911
313,0.0,1.0710514233241504
314,0.0,0.8117921640648911
315,0.0,1.0710514233241504
316,0.0,1.0710514233241504
317,0.0,1.0710514233241504
318,0.0,1.0710514233241504
319,0.0,1.0710514233241504
320,0.0,1.0710514233241504
321,0.0,1.0710514233241504
322,0.0,1.0710514233241504
323,0.0,1.0710514233241504
324,0.0,1.0710514233241504
325,0.0,1.0710514233241504
326,0.0,1.0710514233241504
327,0.0,1.0710514233241504
